,username,id,date,tweet,retweets,likes
0,@elonmusk,1490909887676973056,2022-02-08 04:46:31,@teslaownersSV @boringcompany @mayemusk @kimbal Yup!,188,4193
1,@elonmusk,1490832993258450944,2022-02-07 23:40:58,"Most news outlets attempt to answer the question: “What are the worst things happening on Earth today?”

It’s a big… https://t.co/WJwYccAmth",11029,96629
2,@elonmusk,1490831891640946689,2022-02-07 23:36:35,@GailAlfarATX So hard to find out what’s going on in the world without being bombarded with news that makes one sad &amp; angry!,828,9829
3,@elonmusk,1490831581606416384,2022-02-07 23:35:22,"@GuiStroz @JohnnaCrider1 True, careless negativity (destruction) is much harder than thoughtful positivity (creation)",420,4962
4,@elonmusk,1490830963290427392,2022-02-07 23:32:54,@stevenmarkryan Sadly true,162,4592
5,@elonmusk,1490830733270679553,2022-02-07 23:31:59,"@JohnnaCrider1 That’s true to some degree, but citizen podcasts that aren’t negative like Rogan, Fridman, Dodd, TED… https://t.co/FPDvJfsOTF",1289,17425
6,@elonmusk,1490828521584971777,2022-02-07 23:23:12,@greg16676935420 🤣👍,357,11489
7,@elonmusk,1490828423953977346,2022-02-07 23:22:49,@slashdot Not needed,170,2724
8,@elonmusk,1490827367753056257,2022-02-07 23:18:37,Why is the “traditional” media such a relentless hatestream? Real question.,27865,211835
9,@elonmusk,1490826723356782596,2022-02-07 23:16:03,@TheBabylonBee Fate ♥️ Irony,774,10228
10,@elonmusk,1490765429199052803,2022-02-07 19:12:30,@wintonARK It was so crazy! The insane tweet FUD campaign &amp; press hatestream of 2017-2019 is still easily found.,351,4633
11,@elonmusk,1490749693697081354,2022-02-07 18:09:58,🎶Always look on the bright side of life🎶,25851,211703
12,@elonmusk,1490742889344864267,2022-02-07 17:42:56,🤣,3267,46873
13,@elonmusk,1490740554916941829,2022-02-07 17:33:39,@BLKMDL3 @DragTimes Nice!,152,4321
14,@elonmusk,1490738627382595587,2022-02-07 17:26:00,@BillyM2k 💯,885,14551
15,@elonmusk,1490736010283700225,2022-02-07 17:15:36,@NathalieRach @Not_the_Bee @TheBabylonBee True,72,1609
16,@elonmusk,1490731702825721860,2022-02-07 16:58:29,@Not_the_Bee @TheBabylonBee What a hypocrite,362,4868
17,@elonmusk,1490535156280696833,2022-02-07 03:57:28,@UniverCurious High time we had tunnels!,363,6669
18,@elonmusk,1490473327873466369,2022-02-06 23:51:47,@boringcompany @ResortsWorldLV @LVCVA The Boring Company just connected Resorts World hotel to Vegas Convention Center!,1117,17206
19,@elonmusk,1490466493460582404,2022-02-06 23:24:38,"@Teslarati @13ericralph31 @StarshipGazer As backdrops go, this is a good one",367,7692
20,@elonmusk,1490451380364009472,2022-02-06 22:24:34,"@nypost I’m pro vaccination, but anti vaccination mandate",9247,63753
21,@elonmusk,1490405366038994960,2022-02-06 19:21:44,@slashdot Agreed,503,9792
22,@elonmusk,1490390796935340039,2022-02-06 18:23:50,@TeslaNY @live_munro Munro understands,499,9460
23,@elonmusk,1490137716377411588,2022-02-06 01:38:11,[Satire],1845,52581
24,@elonmusk,1490137536806727683,2022-02-06 01:37:28,🚬 Thank You for Smoking 🚬,12653,150103
25,@elonmusk,1490120045028122624,2022-02-06 00:27:58,Tesla Model S &amp; X Plaid are so fun! https://t.co/lcaTVyEPzN,2674,34475
26,@elonmusk,1490119570752950272,2022-02-06 00:26:05,"Extended tracking shot of Falcon 9
https://t.co/LlUIgOqCxC",3384,27831
27,@elonmusk,1490070970610208773,2022-02-05 21:12:58,@EvaFoxU 🤣,183,8680
28,@elonmusk,1490057614436282383,2022-02-05 20:19:53,https://t.co/fm7mJLuf97,32692,352115
29,@elonmusk,1490041198387552258,2022-02-05 19:14:39,@waitbutwhy !,228,6900
30,@elonmusk,1489842949739454469,2022-02-05 06:06:53,@engineers_feed All these different standards for electricity are a tax on humanity,981,14719
31,@elonmusk,1489842404123422722,2022-02-05 06:04:43,@farty_mcpoops @Olivier_Lambert @TheRealKeean Gavin is kinda badass in this vid,95,1746
32,@elonmusk,1489841690601041924,2022-02-05 06:01:53,@Ali_Tesla585 @teslaownersSV @TheRealKeean Only very high resolution radar is relevant,149,2479
33,@elonmusk,1489841166652780547,2022-02-05 05:59:48,"@teslaownersSV @TheRealKeean We have to solve a huge part of AI just to make cars drive themselves. 

In retrospect… https://t.co/EIcCCPA1RO",349,3948
34,@elonmusk,1489798806791147523,2022-02-05 03:11:29,@TheRealKeean Double-standard?,4782,40550
35,@elonmusk,1489798660561018886,2022-02-05 03:10:54,@TheRealKeean https://t.co/ok0BmaoapC,7176,34528
36,@elonmusk,1489794991308345345,2022-02-05 02:56:19,@TheRealKeean It’s not my money https://t.co/IKRxhGo8wS,26531,97963
37,@elonmusk,1489672786683609091,2022-02-04 18:50:43,@Tesmanian_com A bigger win than it may seem,687,14814
38,@elonmusk,1489615144116174850,2022-02-04 15:01:40,@co_tesla 💯,605,21841
39,@elonmusk,1489466267010543621,2022-02-04 05:10:05,@WholeMarsBlog 😢,272,7112
40,@elonmusk,1489370360864780291,2022-02-03 22:48:59,@RGVaerialphotos Yes,415,8622
41,@elonmusk,1489358828202246145,2022-02-03 22:03:10,@SirineAti Thursday next week at 8pm Texas time,1204,10717
42,@elonmusk,1489357796499984389,2022-02-03 21:59:04,"@SirineAti Starship aspires to be the first fully reusable orbital launch vehicle, the holy grail of rocketry. 

Th… https://t.co/P0kOoOblrb",391,4465
43,@elonmusk,1489353502585409537,2022-02-03 21:42:00,@GregWAutry And all the forms of life on Earth,182,2940
44,@elonmusk,1489353227208478720,2022-02-03 21:40:54,@GregWAutry Becoming multiplanetary is essential to extending dramatically the probable lifespan of civilization,552,6635
45,@elonmusk,1489352673258319872,2022-02-03 21:38:42,@SirineAti Starship is in a different league. Orders of magnitude more mass to orbit than Falcon. Necessary for cre… https://t.co/daFDB65FNf,270,4083
46,@elonmusk,1489351220628230147,2022-02-03 21:32:56,"If things go well, Falcon will launch about once a week on average in 2022, delivering ~2/3 of all Earth payload to orbit",2787,37862
47,@elonmusk,1489349857441726465,2022-02-03 21:27:31,@GailAlfarATX @Tesla Tesla is working hard to provide more Megapacks for grid stabilization,502,7440
48,@elonmusk,1489340604215615492,2022-02-03 20:50:45,Congrats SpaceX Falcon team! https://t.co/ZplhTv0QcH,6368,74296
49,@elonmusk,1489337417446404096,2022-02-03 20:38:05,@teslaownersSV Exactly. The terminology is anachronistic.,570,11235
50,@elonmusk,1489301309559693314,2022-02-03 18:14:36,RT @SpaceX: Watch Falcon 9 launch 49 Starlink satellites to orbit → https://t.co/bJFjLCzWdK  https://t.co/BO1JrHNzXR,2880,0
51,@elonmusk,1489106130135564292,2022-02-03 05:19:02,"@pmarca Who controls the memes,
Controls the universe.",6084,37744
52,@elonmusk,1489035057352302597,2022-02-03 00:36:37,@SawyerMerritt Sigh,471,10714
53,@elonmusk,1488972794385862662,2022-02-02 20:29:12,RT @SpaceX: Watch Falcon 9 launch NROL-87 to orbit → https://t.co/bJFjLCzWdK  https://t.co/4aBaxrbqZm,3066,0
54,@elonmusk,1488926079431675905,2022-02-02 17:23:34,@arctechinc High latitudes are operational probably this summer,156,2911
55,@elonmusk,1488922139952660481,2022-02-02 17:07:55,@TheBabylonBee Haha seriously,681,18382
56,@elonmusk,1488916075781799942,2022-02-02 16:43:49,"SpaceX standard antenna production rises rapidly this year, so those with orders shouldn’t have to wait long.

Note… https://t.co/wJzpz8N1iN",1261,16806
57,@elonmusk,1488911447845445639,2022-02-02 16:25:26,@engineers_feed 💯,427,9176
