,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Stock Name
0,2021-12-31,TSLA,USD,0001318605,2022-02-07,2022-02-04 20:11:27,2021,FY,53823000000,40217000000,13606000000,0.25279155751258753,2593000000,0.0,0.0,4517000000,0.0,7110000000,47327000000,56000000.0,371000000,2911000000,9500000000,0.17650446834996192,-6523000000,-0.12119354179440016,12866000000,6343000000,0.11784924660461141,699000000,5519000000,0.10253980640246735,5.75,5.75,960000000,960000000,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/0000950170-22-000796-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/tsla-20211231.htm,TSLA
1,2020-12-31,TSLA,USD,0001318605,2021-02-08,2021-02-08 07:27:23,2020,FY,31536000000,24906000000,6630000000,0.2102359208523592,1491000000,3145000000.0,0.0,3145000000,0.0,4636000000,29542000000,30000000.0,748000000,2322000000,4052000000,0.1284880771182141,1994000000,0.06322932521562659,-840000000,1154000000,0.03659309994926433,292000000,690000000,0.021879756468797563,0.74,0.64,960000000,960000000,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/tsla-10k_20201231.htm,TSLA
2,2019-12-31,TSLA,USD,0001318605,2020-02-13,2020-02-13 07:12:18,2019,FY,24578000000,20509000000,4069000000,0.1655545609895028,1343000000,2646000000.0,0.0,2646000000,0.0,3989000000,24498000000,44000000.0,685000000,2154000000,2087000000,0.08491333713076735,-69000000,-0.002807388721620962,-596000000,-665000000,-0.027056717389535356,110000000,-862000000,-0.03507201562372854,-0.984,-0.984,885000000,885000000,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/0001564590-20-004475-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/tsla-10k_20191231.htm,TSLA
3,2018-12-31,TSLA,USD,0001318605,2019-02-19,2019-02-19 06:10:16,2018,FY,21461268000,17419247000,4042021000,0.18834026954977684,1460370000,2834491000.0,0.0,2834491000,0.0,4294861000,21714108000,24533000.0,663071000,1901050000,1645867000,0.07669010982948445,-388073000,-0.018082482358451512,-616672000,-1004745000,-0.04681666525948047,57837000,-976091000,-0.045481515817238756,-1.144,-1.144,852625000,852625000,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/0001564590-19-003165-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/tsla-10k_20181231.htm,TSLA
4,2017-12-31,TSLA,USD,0001318605,2018-02-23,2018-02-23 06:07:43,2017,FY,11758751000,9536264000,2222487000,0.1890070637604283,1378073000,2476500000.0,0.0,2476500000,0.0,3854573000,13390837000,19686000.0,471259000,1636003000,177408000,0.015087316671643102,-1632086000,-0.13879756446921956,-576946000,-2209032000,-0.18786280957901055,31546000,-1961400000,-0.16680343005817538,-2.366,-2.366,828790000,828790000,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/0001564590-18-002956-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/tsla-10k_20171231.htm,TSLA
0,2021-12-31,AMZN,USD,0001018724,2022-02-04,2022-02-03 18:46:51,2021,FY,469822000000,347455000000,122367000000,0.26045395915900066,56052000000,8823000000.0,32551000000.0,41374000000,62000000.0,97488000000,444943000000,448000000.0,1809000000,34296000000,74260000000,0.15805986096862215,24879000000,0.052954097509269465,13272000000,38151000000,0.08120309393770407,4791000000,33364000000,0.07101412875514557,65.96,64.81,500000000,510000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/0001018724-22-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm,AMZN
1,2020-12-31,AMZN,USD,0001018724,2021-02-03,2021-02-02 19:44:10,2020,FY,386064000000,291824000000,94240000000,0.24410460441792034,42740000000,6668000000.0,22008000000.0,28676000000,-75000000.0,71341000000,363165000000,0.0,1647000000,25251000000,51092000000,0.13234075179244892,22899000000,0.05931399975133657,1279000000,24178000000,0.06262692196112561,2863000000,21331000000,0.05525249699531684,42.64,41.83,500000000,510000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/amzn-20201231.htm,AMZN
2,2019-12-31,AMZN,USD,0001018724,2020-01-31,2020-01-30 20:46:13,2019,FY,280522000000,205768000000,74754000000,0.26648177326555494,35931000000,5203000000.0,18878000000.0,24081000000,201000000.0,60213000000,265981000000,0.0,1600000000,21789000000,37351000000,0.13314820228003507,14541000000,0.05183550666257905,-565000000,13976000000,0.04982140438183102,2374000000,11588000000,0.04130870306072251,23.46,23.01,494000000,504000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/0001018724-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/amzn-20191231x10k.htm,AMZN
3,2018-12-31,AMZN,USD,0001018724,2019-02-01,2019-01-31 20:22:40,2018,FY,232887000000,173183000000,59704000000,0.2563646747134877,28837000000,4336000000.0,13814000000.0,18150000000,296000000.0,47283000000,220466000000,0.0,1417000000,15341000000,28028000000,0.12035021276413024,12421000000,0.053334879147397665,-1160000000,11261000000,0.04835392271788464,1197000000,10073000000,0.04325273630559026,20.68,20.14,487000000,500000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000004/0001018724-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000004/amzn-20181231x10k.htm,AMZN
4,2017-12-31,AMZN,USD,0001018724,2018-02-02,2018-02-01 20:41:15,2017,FY,177866000000,137183000000,40683000000,0.22872836854710848,22620000000,3674000000.0,10069000000.0,13743000000,214000000.0,36577000000,173760000000,0.0,848000000,11478000000,16128000000,0.09067500252999448,4106000000,0.023084794170892695,-300000000,3806000000,0.021398131177403214,769000000,3033000000,0.01705216286417865,6.32,6.15,480000000,493000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000005/0001018724-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000005/amzn-20171231x10k.htm,AMZN
