,symbol,date,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,Stock Name
0,TSLA,2021-12-31,FY,56.065625,5.748958333,11.97604167,3.628125,18.44479167,31.446875,30.51875,31.446875,7.505208333,812495976960,801753976960,147.2179701,15.09570215,70.6702598,233.2747565,26.91364328,26.91364328,14.89612205,84.39515547,69.73592911,230.1906336,0.006792649018,0.004286790457,0.173738779,0.5008127988,-1.130736842,1.375285461,-17.58221024,2.08316724,,0,0,0.04817643015,0.02763515797,-0.6970514047,-0.1488954536,-2.75300584,0.03940694499,63.77854198,-0.1537500589,0.09135299765,-9.474739583,7395000000,29298000000,-4016000000,0.2263738448,1899500000,8038000000,4929000000,12.97298553,90.9845339,52.24917324,28.13538944,4.011670823,6.98575647,0.1828149326,-8.347916667,TSLA
1,TSLA,2020-12-31,FY,32.85,0.71875,6.190625,2.813541667,20.19166667,23.15104167,23.49479167,23.15104167,12.95416667,761788827840,754092827840,1104.041779,24.15616527,128.1825388,282.0395512,34.27621273,34.27621273,23.91212671,186.1038568,126.8875699,279.1902361,0.000905762824,0.003545602011,0.4299662542,0.5575093963,-1.899308983,1.875140371,2.665775401,8.613043478,,0,0.09972729579,0.04727929985,0.009971619238,-0.5455157328,-0.1028031456,-1.396210164,0.0549847793,19.34930882,0.0526121372,0.01336484078,-6.483333333,12469000000,22555000000,-2356000000,0.5258942632,1886000000,6051000000,4101000000,21.8287037,88.67802939,60.10057817,16.72110286,4.116013882,6.07315289,0.03104611924,-3.377083333,TSLA
2,TSLA,2019-12-31,FY,27.77175141,-0.9740112994,2.717514124,1.093785311,7.082485876,7.477966102,7.830508475,7.477966102,16.25875706,113423372655,120859372655,-131.5816388,4.614833292,47.16148551,117.1729056,17.13861781,17.13861781,4.917380285,57.91057626,50.2533774,124.8547238,-0.007599844545,0.008534396195,1.75793291,0.7823603136,3.563009104,1.134620793,-0.100729927,-2.790023202,,0,0.1076572545,0.05464236309,0.01565186977,-0.5975051975,-0.05846692164,-0.6671309192,0.03653674017,12.8016221,-0.002918534811,-0.02552410281,-20.11864407,1436000000,6930000000,-14739000000,2.070716228,1605000000,4911000000,3826500000,19.66229962,67.112731,63.21517383,18.56344411,5.438610448,5.77393018,-0.1302508311,-1.623728814,TSLA
3,TSLA,2018-12-31,FY,25.17081718,-1.14480692,2.460404046,-0.2600369447,4.322671749,5.774218443,6.341579241,5.774218443,14.98659082,52653005955,61082258955,-53.94272251,2.453396787,25.0991304,-237.4816473,10.69478105,10.69478105,2.846162629,37.1125121,29.11726605,-275.5002343,-0.01853818186,-0.004210851707,1.91005644,0.8063982942,5.12146668,0.8312845221,-0.5852661329,-2.14918691,,0,0.1320747218,0.06804677151,0.01179070448,-1.105688716,-0.1080791685,-1.220123616,0.03490119969,12.19562289,-0.01965177528,-0.03321284252,-21.14395719,-1685828000,5406989000,-15675666000,2.46075016,1417511000,4727725500,3607223000,16.14038043,71.33629915,65.23862886,22.61408903,5.116609697,5.594844748,-0.1982617961,-2.720440991,TSLA
4,TSLA,2017-12-31,FY,14.18785338,-2.366582608,-0.07318379807,-4.997656825,4.06365183,5.112564099,5.807078995,5.112564099,13.09560926,57322432389,64336769389,-29.22526379,4.874874244,-945.072582,-13.83928577,13.52824134,13.52824134,5.471394827,362.648637,-1060.717667,-15.5327487,-0.03421697088,-0.07225806421,2.222764005,0.8173261195,39.53788442,0.8561306219,-3.463246325,0.03092382992,,0,0.210609103,0.1171955253,0.01471762433,67.28911531,-0.3470907752,-2.494710584,0.03969469206,16.49952632,-0.07778986614,-0.06947033703,-22.36340418,-1104150000,4812849000,-16850264000,2.450237914,1200690500,4220625000,3182268500,15.99779305,91.48669227,86.6367589,22.81564706,3.989651292,4.212992321,-0.46289544,-4.924473027,TSLA
0,AMZN,2021-12-31,FY,939.644,66.728,92.654,-29.452,192.098,276.49,245.748,276.49,236.408,1439780000000,1519955000000,43.1536986,3.064522308,31.07863665,-97.77128888,10.41469854,10.41469854,3.235172044,20.46801778,32.80926889,-103.2157409,0.02317298476,-0.01022795149,0.8419472675,0.6712749287,1.079652572,1.135759774,13.75290216,1.38853255,,0,0.01877945264,0.119304758,0.03654984318,-1.317870788,-0.1299492148,-1.780178446,0.02715283661,644.2953951,0.08940179601,0.08234405619,-290.5335,19314000000,122874000000,-120724000000,0.8419472675,28716500000,75601500000,28217500000,25.55268804,82.63619749,34.2881812,14.28421149,4.416950575,10.6450674,0.2413396506,-122.106,AMZN
1,AMZN,2020-12-31,FY,772.128,42.662,132.128,51.848,168.792,186.808,146.812,186.808,172.072,1603099975500,1645366975500,75.15353127,4.152420261,24.26586303,61.83844991,17.16307627,17.16307627,4.261902108,32.20400406,24.90565172,63.4688696,0.01330609465,0.01617116861,0.9034837908,0.709198462,0.8272723714,1.05022748,13.90346084,3.097088744,,0,0.01727174769,0.110707033,0.06226124317,-0.6075926374,-0.1039723984,-1.589640014,0.02385096772,423.4572767,0.1175453005,0.07082075851,-226.182,6348000000,73406000000,-95058000000,0.9034837908,24542000000,72539000000,23795000000,23.20296635,90.72843563,29.76168855,15.73074729,4.022994527,12.26408909,0.2283735172,-80.28,AMZN
2,AMZN,2019-12-31,FY,567.8582996,23.45748988,77.96356275,43.83198381,111.3785425,125.6275304,87.56477733,125.6275304,50.63562753,924115969400,911437969400,79.74766736,3.294272711,23.994287,42.67842652,14.89068594,14.89068594,3.249078395,24.40196968,23.665108,42.09291874,0.01253955173,0.0234310419,0.3772800516,0.7244814604,-0.3394286632,1.097048239,9.088125,3.323610632,,0,0.0185475649,0.1280862107,0.08347687882,-0.437788856,-0.06010580275,-0.7738308321,0.02446866912,257.4983432,0.1058019733,0.05613117295,-166.6123482,8522000000,43257000000,-66854000000,0.3772800516,22679000000,59861000000,22146000000,27.08464933,83.69520528,36.35844738,13.47626826,4.361062247,10.03893253,0.1867225266,-34.13157895,AMZN
3,AMZN,2018-12-31,FY,478.2073922,20.68377823,63.0862423,35.51540041,84.70225873,89.42299795,51.11088296,89.42299795,51.15400411,813499458700,805244458700,80.76039499,3.493108068,26.47851638,47.033965,18.68009504,18.68009504,3.457661693,28.73000067,26.20982517,46.55668702,0.01238230695,0.02126123111,0.5395072218,0.7322500123,-0.2945269017,1.098112325,8.765702188,3.050034746,,0,0.01861847162,0.1238240005,0.1147139836,-0.4370341438,-0.05765457067,-0.8752362949,0.02326450167,204.000301,0.1317780112,0.06995624696,-116.538501,6710000000,24891000000,-43998000000,0.5395072218,20609500000,55365500000,20484500000,26.13759033,80.49335096,36.19587373,13.96456197,4.534536028,10.08402236,0.2313026706,-27.57084189,AMZN
4,AMZN,2017-12-31,FY,370.5541667,6.31875,38.40416667,13.49791667,64.55416667,57.72708333,22.89166667,57.72708333,53.31458333,690153552000,694374552000,227.5481543,3.880188187,37.43916415,106.5216163,24.90719809,24.90719809,3.903919535,43.05397768,37.66814321,107.1731057,0.004394674187,0.009387765927,0.8929589664,0.7889802757,0.26171875,1.039977195,4.841981132,6.077810748,,0,0.02065599946,0.1271743897,0.1273398827,-0.6485298904,-0.06721352029,-1.041557763,0.02369761506,90.59341961,0.05591948466,0.02646850919,-113.996875,2314000000,10988000000,-43404000000,0.8929589664,18853000000,53577500000,19921000000,27.01393184,92.10208262,42.69592442,13.51154664,3.962993991,8.548825326,0.1094590205,-24.90625,AMZN
